dteday,hr,weekday,mnth,yr,season,cnt
2011-01-06,12,Thursday,1,2011,Spring,84
2011-01-06,13,Thursday,1,2011,Spring,67
2011-01-06,14,Thursday,1,2011,Spring,70
2011-01-06,15,Thursday,1,2011,Spring,62
2011-01-06,16,Thursday,1,2011,Spring,86
2011-01-06,17,Thursday,1,2011,Spring,172
2011-01-06,18,Thursday,1,2011,Spring,163
2011-01-06,19,Thursday,1,2011,Spring,112
2011-01-06,20,Thursday,1,2011,Spring,69
2011-01-06,21,Thursday,1,2011,Spring,48
2011-01-06,22,Thursday,1,2011,Spring,52
2011-01-06,23,Thursday,1,2011,Spring,23
2011-01-07,0,Friday,1,2011,Spring,17
2011-01-07,1,Friday,1,2011,Spring,7
2011-01-07,2,Friday,1,2011,Spring,1
2011-01-07,4,Friday,1,2011,Spring,1
2011-01-07,5,Friday,1,2011,Spring,5
2011-01-07,6,Friday,1,2011,Spring,34
2011-01-07,7,Friday,1,2011,Spring,84
2011-01-07,8,Friday,1,2011,Spring,210
2011-01-07,9,Friday,1,2011,Spring,134
2011-01-07,10,Friday,1,2011,Spring,63
2011-01-07,11,Friday,1,2011,Spring,67
2011-01-07,12,Friday,1,2011,Spring,59
2011-01-07,13,Friday,1,2011,Spring,73
2011-01-07,14,Friday,1,2011,Spring,50
2011-01-07,15,Friday,1,2011,Spring,72
2011-01-07,16,Friday,1,2011,Spring,87
2011-01-07,17,Friday,1,2011,Spring,187
2011-01-07,18,Friday,1,2011,Spring,123
2011-01-07,19,Friday,1,2011,Spring,95
2011-01-07,20,Friday,1,2011,Spring,51
2011-01-07,21,Friday,1,2011,Spring,39
2011-01-07,22,Friday,1,2011,Spring,36
2011-01-07,23,Friday,1,2011,Spring,15
2011-01-08,0,Saturday,1,2011,Spring,25
2011-01-08,1,Saturday,1,2011,Spring,16
2011-01-08,2,Saturday,1,2011,Spring,16
2011-01-08,3,Saturday,1,2011,Spring,7
2011-01-08,4,Saturday,1,2011,Spring,1
2011-01-08,5,Saturday,1,2011,Spring,5
2011-01-08,6,Saturday,1,2011,Spring,2
2011-01-08,7,Saturday,1,2011,Spring,9
2011-01-08,8,Saturday,1,2011,Spring,15
2011-01-08,9,Saturday,1,2011,Spring,20
2011-01-08,10,Saturday,1,2011,Spring,61
2011-01-08,11,Saturday,1,2011,Spring,62
2011-01-08,12,Saturday,1,2011,Spring,98
2011-01-08,13,Saturday,1,2011,Spring,102
2011-01-08,14,Saturday,1,2011,Spring,95
2011-01-08,15,Saturday,1,2011,Spring,74
2011-01-08,16,Saturday,1,2011,Spring,76
2011-01-08,17,Saturday,1,2011,Spring,69
2011-01-08,18,Saturday,1,2011,Spring,55
2011-01-08,19,Saturday,1,2011,Spring,30
2011-01-08,20,Saturday,1,2011,Spring,28
2011-01-08,21,Saturday,1,2011,Spring,37
2011-01-08,22,Saturday,1,2011,Spring,34
2011-01-08,23,Saturday,1,2011,Spring,22
2011-01-09,0,Sunday,1,2011,Spring,25
2011-01-09,1,Sunday,1,2011,Spring,12
2011-01-09,2,Sunday,1,2011,Spring,11
2011-01-09,3,Sunday,1,2011,Spring,4
2011-01-09,4,Sunday,1,2011,Spring,1
2011-01-09,5,Sunday,1,2011,Spring,1
2011-01-09,6,Sunday,1,2011,Spring,1
2011-01-09,7,Sunday,1,2011,Spring,6
2011-01-09,8,Sunday,1,2011,Spring,10
2011-01-09,9,Sunday,1,2011,Spring,19
2011-01-09,10,Sunday,1,2011,Spring,49
2011-01-09,11,Sunday,1,2011,Spring,49
2011-01-09,12,Sunday,1,2011,Spring,83
2011-01-09,13,Sunday,1,2011,Spring,75
2011-01-09,14,Sunday,1,2011,Spring,72
2011-01-09,15,Sunday,1,2011,Spring,82
2011-01-09,16,Sunday,1,2011,Spring,92
2011-01-09,17,Sunday,1,2011,Spring,62
2011-01-09,18,Sunday,1,2011,Spring,48
2011-01-09,19,Sunday,1,2011,Spring,41
2011-01-09,20,Sunday,1,2011,Spring,38
2011-01-09,21,Sunday,1,2011,Spring,20
2011-01-09,22,Sunday,1,2011,Spring,15
2011-01-09,23,Sunday,1,2011,Spring,6
2011-01-10,0,Monday,1,2011,Spring,5
2011-01-10,1,Monday,1,2011,Spring,1
2011-01-10,2,Monday,1,2011,Spring,3
2011-01-10,3,Monday,1,2011,Spring,1
2011-01-10,4,Monday,1,2011,Spring,3
2011-01-10,5,Monday,1,2011,Spring,3
2011-01-10,6,Monday,1,2011,Spring,31
2011-01-10,7,Monday,1,2011,Spring,77
2011-01-10,8,Monday,1,2011,Spring,188
2011-01-10,9,Monday,1,2011,Spring,94
2011-01-10,10,Monday,1,2011,Spring,31
2011-01-10,11,Monday,1,2011,Spring,30
2011-01-10,12,Monday,1,2011,Spring,52
2011-01-10,13,Monday,1,2011,Spring,54
2011-01-10,14,Monday,1,2011,Spring,47
2011-01-10,15,Monday,1,2011,Spring,45
2011-01-10,16,Monday,1,2011,Spring,74
2011-01-10,17,Monday,1,2011,Spring,178
2011-01-10,18,Monday,1,2011,Spring,155
2011-01-10,19,Monday,1,2011,Spring,95
2011-01-10,20,Monday,1,2011,Spring,74
2011-01-10,21,Monday,1,2011,Spring,38
2011-01-10,22,Monday,1,2011,Spring,24
2011-01-10,23,Monday,1,2011,Spring,18
2011-01-11,0,Tuesday,1,2011,Spring,12
2011-01-11,1,Tuesday,1,2011,Spring,3
2011-01-11,2,Tuesday,1,2011,Spring,3
2011-01-11,5,Tuesday,1,2011,Spring,6
2011-01-11,6,Tuesday,1,2011,Spring,27
2011-01-11,7,Tuesday,1,2011,Spring,99
2011-01-11,8,Tuesday,1,2011,Spring,217
2011-01-11,9,Tuesday,1,2011,Spring,130
2011-01-11,10,Tuesday,1,2011,Spring,54
2011-01-11,11,Tuesday,1,2011,Spring,35
2011-01-11,12,Tuesday,1,2011,Spring,57
2011-01-11,13,Tuesday,1,2011,Spring,52
2011-01-11,14,Tuesday,1,2011,Spring,63
2011-01-11,15,Tuesday,1,2011,Spring,47
2011-01-11,16,Tuesday,1,2011,Spring,76
2011-01-11,17,Tuesday,1,2011,Spring,136
2011-01-11,18,Tuesday,1,2011,Spring,95
2011-01-11,19,Tuesday,1,2011,Spring,51
2011-01-11,20,Tuesday,1,2011,Spring,32
2011-01-11,21,Tuesday,1,2011,Spring,20
2011-01-11,22,Tuesday,1,2011,Spring,29
2011-01-11,23,Tuesday,1,2011,Spring,19
2011-01-12,0,Wednesday,1,2011,Spring,7
2011-01-12,1,Wednesday,1,2011,Spring,6
2011-01-12,2,Wednesday,1,2011,Spring,1
2011-01-12,5,Wednesday,1,2011,Spring,5
2011-01-12,6,Wednesday,1,2011,Spring,16
2011-01-12,7,Wednesday,1,2011,Spring,54
2011-01-12,8,Wednesday,1,2011,Spring,128
2011-01-12,9,Wednesday,1,2011,Spring,81
2011-01-12,10,Wednesday,1,2011,Spring,39
2011-01-12,11,Wednesday,1,2011,Spring,35
2011-01-12,12,Wednesday,1,2011,Spring,55
2011-01-12,13,Wednesday,1,2011,Spring,49
2011-01-12,14,Wednesday,1,2011,Spring,44
2011-01-12,15,Wednesday,1,2011,Spring,49
2011-01-12,16,Wednesday,1,2011,Spring,68
2011-01-12,17,Wednesday,1,2011,Spring,139
2011-01-12,18,Wednesday,1,2011,Spring,137
2011-01-12,19,Wednesday,1,2011,Spring,83
2011-01-12,20,Wednesday,1,2011,Spring,56
2011-01-12,21,Wednesday,1,2011,Spring,57
2011-01-12,22,Wednesday,1,2011,Spring,33
2011-01-12,23,Wednesday,1,2011,Spring,20
2011-01-13,0,Thursday,1,2011,Spring,7
2011-01-13,1,Thursday,1,2011,Spring,2
2011-01-13,2,Thursday,1,2011,Spring,2
2011-01-13,3,Thursday,1,2011,Spring,3
2011-01-13,4,Thursday,1,2011,Spring,4
2011-01-13,5,Thursday,1,2011,Spring,3
2011-01-13,6,Thursday,1,2011,Spring,28
2011-01-13,7,Thursday,1,2011,Spring,72
2011-01-13,8,Thursday,1,2011,Spring,202
2011-01-13,9,Thursday,1,2011,Spring,139
2011-01-13,10,Thursday,1,2011,Spring,38
2011-01-13,11,Thursday,1,2011,Spring,37
2011-01-13,12,Thursday,1,2011,Spring,52
2011-01-13,13,Thursday,1,2011,Spring,83
2011-01-13,14,Thursday,1,2011,Spring,42
2011-01-13,15,Thursday,1,2011,Spring,60
2011-01-13,16,Thursday,1,2011,Spring,78
2011-01-13,17,Thursday,1,2011,Spring,162
2011-01-13,18,Thursday,1,2011,Spring,144
2011-01-13,19,Thursday,1,2011,Spring,99
2011-01-13,20,Thursday,1,2011,Spring,64
2011-01-13,21,Thursday,1,2011,Spring,40
2011-01-13,22,Thursday,1,2011,Spring,30
2011-01-13,23,Thursday,1,2011,Spring,15
2011-01-14,0,Friday,1,2011,Spring,14
2011-01-14,1,Friday,1,2011,Spring,5
2011-01-14,2,Friday,1,2011,Spring,1
2011-01-14,3,Friday,1,2011,Spring,1
2011-01-14,5,Friday,1,2011,Spring,8
2011-01-14,6,Friday,1,2011,Spring,17
2011-01-14,7,Friday,1,2011,Spring,70
2011-01-14,8,Friday,1,2011,Spring,158
2011-01-14,9,Friday,1,2011,Spring,117
2011-01-14,10,Friday,1,2011,Spring,44
2011-01-14,11,Friday,1,2011,Spring,53
2011-01-14,12,Friday,1,2011,Spring,61
2011-01-14,13,Friday,1,2011,Spring,77
2011-01-14,14,Friday,1,2011,Spring,64
2011-01-14,15,Friday,1,2011,Spring,68
2011-01-14,16,Friday,1,2011,Spring,90
2011-01-14,17,Friday,1,2011,Spring,159
2011-01-14,18,Friday,1,2011,Spring,139
2011-01-14,19,Friday,1,2011,Spring,92
2011-01-14,20,Friday,1,2011,Spring,68
2011-01-14,21,Friday,1,2011,Spring,52
2011-01-14,22,Friday,1,2011,Spring,36
2011-01-14,23,Friday,1,2011,Spring,27
2011-01-15,0,Saturday,1,2011,Spring,28
2011-01-15,1,Saturday,1,2011,Spring,20
2011-01-15,2,Saturday,1,2011,Spring,12
2011-01-15,3,Saturday,1,2011,Spring,8
2011-01-15,4,Saturday,1,2011,Spring,5
2011-01-15,5,Saturday,1,2011,Spring,1
2011-01-15,6,Saturday,1,2011,Spring,3
2011-01-15,7,Saturday,1,2011,Spring,10
2011-01-15,8,Saturday,1,2011,Spring,23
2011-01-15,9,Saturday,1,2011,Spring,33
2011-01-15,10,Saturday,1,2011,Spring,59
2011-01-15,11,Saturday,1,2011,Spring,72
2011-01-15,12,Saturday,1,2011,Spring,89
2011-01-15,13,Saturday,1,2011,Spring,101
2011-01-15,14,Saturday,1,2011,Spring,118
2011-01-15,15,Saturday,1,2011,Spring,129
2011-01-15,16,Saturday,1,2011,Spring,128
2011-01-15,17,Saturday,1,2011,Spring,83
2011-01-15,18,Saturday,1,2011,Spring,84
2011-01-15,19,Saturday,1,2011,Spring,74
2011-01-15,20,Saturday,1,2011,Spring,41
2011-01-15,21,Saturday,1,2011,Spring,57
2011-01-15,22,Saturday,1,2011,Spring,26
2011-01-15,23,Saturday,1,2011,Spring,44
2011-01-16,0,Sunday,1,2011,Spring,39
2011-01-16,1,Sunday,1,2011,Spring,23
2011-01-16,2,Sunday,1,2011,Spring,16
2011-01-16,3,Sunday,1,2011,Spring,15
2011-01-16,4,Sunday,1,2011,Spring,1
2011-01-16,5,Sunday,1,2011,Spring,2
2011-01-16,6,Sunday,1,2011,Spring,1
2011-01-16,7,Sunday,1,2011,Spring,3
2011-01-16,8,Sunday,1,2011,Spring,18
2011-01-16,9,Sunday,1,2011,Spring,32
2011-01-16,10,Sunday,1,2011,Spring,79
2011-01-16,11,Sunday,1,2011,Spring,93
2011-01-16,12,Sunday,1,2011,Spring,104
2011-01-16,13,Sunday,1,2011,Spring,118
2011-01-16,14,Sunday,1,2011,Spring,91
2011-01-16,15,Sunday,1,2011,Spring,113
2011-01-16,16,Sunday,1,2011,Spring,99
2011-01-16,17,Sunday,1,2011,Spring,105
2011-01-16,18,Sunday,1,2011,Spring,67
2011-01-16,19,Sunday,1,2011,Spring,61
2011-01-16,20,Sunday,1,2011,Spring,57
2011-01-16,21,Sunday,1,2011,Spring,28
2011-01-16,22,Sunday,1,2011,Spring,21
2011-01-16,23,Sunday,1,2011,Spring,18
2011-01-17,0,Monday,1,2011,Spring,17
2011-01-17,1,Monday,1,2011,Spring,16
2011-01-17,2,Monday,1,2011,Spring,8
2011-01-17,3,Monday,1,2011,Spring,2
2011-01-17,4,Monday,1,2011,Spring,3
2011-01-17,5,Monday,1,2011,Spring,1
2011-01-17,6,Monday,1,2011,Spring,5
2011-01-17,7,Monday,1,2011,Spring,13
2011-01-17,8,Monday,1,2011,Spring,33
2011-01-17,9,Monday,1,2011,Spring,47
2011-01-17,10,Monday,1,2011,Spring,57
2011-01-17,11,Monday,1,2011,Spring,64
2011-01-17,12,Monday,1,2011,Spring,80
2011-01-17,13,Monday,1,2011,Spring,93
2011-01-17,14,Monday,1,2011,Spring,86
2011-01-17,15,Monday,1,2011,Spring,93
2011-01-17,16,Monday,1,2011,Spring,82
2011-01-17,17,Monday,1,2011,Spring,71
2011-01-17,18,Monday,1,2011,Spring,92
2011-01-17,19,Monday,1,2011,Spring,60
2011-01-17,20,Monday,1,2011,Spring,33
2011-01-17,21,Monday,1,2011,Spring,27
2011-01-17,22,Monday,1,2011,Spring,13
2011-01-17,23,Monday,1,2011,Spring,4
2011-01-18,12,Tuesday,1,2011,Spring,3
2011-01-18,13,Tuesday,1,2011,Spring,22
2011-01-18,14,Tuesday,1,2011,Spring,28
2011-01-18,15,Tuesday,1,2011,Spring,35
2011-01-18,16,Tuesday,1,2011,Spring,61
2011-01-18,17,Tuesday,1,2011,Spring,125
2011-01-18,18,Tuesday,1,2011,Spring,133
2011-01-18,19,Tuesday,1,2011,Spring,99
2011-01-18,20,Tuesday,1,2011,Spring,83
2011-01-18,21,Tuesday,1,2011,Spring,41
2011-01-18,22,Tuesday,1,2011,Spring,33
2011-01-18,23,Tuesday,1,2011,Spring,20
2011-01-19,0,Wednesday,1,2011,Spring,3
2011-01-19,1,Wednesday,1,2011,Spring,7
2011-01-19,2,Wednesday,1,2011,Spring,3
2011-01-19,4,Wednesday,1,2011,Spring,2
2011-01-19,5,Wednesday,1,2011,Spring,7
2011-01-19,6,Wednesday,1,2011,Spring,32
2011-01-19,7,Wednesday,1,2011,Spring,90
2011-01-19,8,Wednesday,1,2011,Spring,197
2011-01-19,9,Wednesday,1,2011,Spring,109
2011-01-19,10,Wednesday,1,2011,Spring,47
2011-01-19,11,Wednesday,1,2011,Spring,52
2011-01-19,12,Wednesday,1,2011,Spring,70
2011-01-19,13,Wednesday,1,2011,Spring,78
2011-01-19,14,Wednesday,1,2011,Spring,75
2011-01-19,15,Wednesday,1,2011,Spring,82
2011-01-19,16,Wednesday,1,2011,Spring,104
2011-01-19,17,Wednesday,1,2011,Spring,197
2011-01-19,18,Wednesday,1,2011,Spring,161
2011-01-19,19,Wednesday,1,2011,Spring,112
2011-01-19,20,Wednesday,1,2011,Spring,76
2011-01-19,21,Wednesday,1,2011,Spring,59
2011-01-19,22,Wednesday,1,2011,Spring,59
2011-01-19,23,Wednesday,1,2011,Spring,28
2011-01-20,0,Thursday,1,2011,Spring,13
2011-01-20,1,Thursday,1,2011,Spring,5
2011-01-20,2,Thursday,1,2011,Spring,2
2011-01-20,3,Thursday,1,2011,Spring,1
2011-01-20,4,Thursday,1,2011,Spring,1
2011-01-20,5,Thursday,1,2011,Spring,6
2011-01-20,6,Thursday,1,2011,Spring,35
2011-01-20,7,Thursday,1,2011,Spring,101
2011-01-20,8,Thursday,1,2011,Spring,249
2011-01-20,9,Thursday,1,2011,Spring,143
2011-01-20,10,Thursday,1,2011,Spring,57
2011-01-20,11,Thursday,1,2011,Spring,68
2011-01-20,12,Thursday,1,2011,Spring,84
2011-01-20,13,Thursday,1,2011,Spring,98
2011-01-20,14,Thursday,1,2011,Spring,81
2011-01-20,15,Thursday,1,2011,Spring,70
2011-01-20,16,Thursday,1,2011,Spring,91
2011-01-20,17,Thursday,1,2011,Spring,215
2011-01-20,18,Thursday,1,2011,Spring,185
2011-01-20,19,Thursday,1,2011,Spring,152
2011-01-20,20,Thursday,1,2011,Spring,126
2011-01-20,21,Thursday,1,2011,Spring,57
2011-01-20,22,Thursday,1,2011,Spring,56
2011-01-20,23,Thursday,1,2011,Spring,31
2011-01-21,0,Friday,1,2011,Spring,21
2011-01-21,1,Friday,1,2011,Spring,6
2011-01-21,2,Friday,1,2011,Spring,2
2011-01-21,3,Friday,1,2011,Spring,1
2011-01-21,4,Friday,1,2011,Spring,1
2011-01-21,5,Friday,1,2011,Spring,5
2011-01-21,6,Friday,1,2011,Spring,27
2011-01-21,7,Friday,1,2011,Spring,68
2011-01-21,8,Friday,1,2011,Spring,217
2011-01-21,9,Friday,1,2011,Spring,166
2011-01-21,10,Friday,1,2011,Spring,63
2011-01-21,11,Friday,1,2011,Spring,59
2011-01-21,12,Friday,1,2011,Spring,78
2011-01-21,13,Friday,1,2011,Spring,73
2011-01-21,14,Friday,1,2011,Spring,62
2011-01-21,15,Friday,1,2011,Spring,65
2011-01-21,16,Friday,1,2011,Spring,97
2011-01-21,17,Friday,1,2011,Spring,161
2011-01-21,18,Friday,1,2011,Spring,120
2011-01-21,19,Friday,1,2011,Spring,96
2011-01-21,20,Friday,1,2011,Spring,53
2011-01-21,21,Friday,1,2011,Spring,41
2011-01-21,22,Friday,1,2011,Spring,34
2011-01-21,23,Friday,1,2011,Spring,27
2011-01-22,0,Saturday,1,2011,Spring,13
2011-01-22,1,Saturday,1,2011,Spring,12
2011-01-22,2,Saturday,1,2011,Spring,11
2011-01-22,3,Saturday,1,2011,Spring,7
2011-01-22,4,Saturday,1,2011,Spring,3
2011-01-22,6,Saturday,1,2011,Spring,2
2011-01-22,7,Saturday,1,2011,Spring,8
2011-01-22,8,Saturday,1,2011,Spring,27
2011-01-22,9,Saturday,1,2011,Spring,40
2011-01-22,10,Saturday,1,2011,Spring,53
2011-01-22,11,Saturday,1,2011,Spring,63
2011-01-22,12,Saturday,1,2011,Spring,70
2011-01-22,13,Saturday,1,2011,Spring,84
2011-01-22,14,Saturday,1,2011,Spring,75
2011-01-22,15,Saturday,1,2011,Spring,103
2011-01-22,16,Saturday,1,2011,Spring,83
2011-01-22,17,Saturday,1,2011,Spring,67
2011-01-22,18,Saturday,1,2011,Spring,54
2011-01-22,19,Saturday,1,2011,Spring,59
2011-01-22,20,Saturday,1,2011,Spring,45
2011-01-22,21,Saturday,1,2011,Spring,39
2011-01-22,22,Saturday,1,2011,Spring,30
2011-01-22,23,Saturday,1,2011,Spring,33
2011-01-23,0,Sunday,1,2011,Spring,22
2011-01-23,1,Sunday,1,2011,Spring,13
2011-01-23,2,Sunday,1,2011,Spring,18
2011-01-23,3,Sunday,1,2011,Spring,5
2011-01-23,5,Sunday,1,2011,Spring,3
2011-01-23,6,Sunday,1,2011,Spring,1
2011-01-23,7,Sunday,1,2011,Spring,2
2011-01-23,8,Sunday,1,2011,Spring,19
2011-01-23,9,Sunday,1,2011,Spring,28
2011-01-23,10,Sunday,1,2011,Spring,58
2011-01-23,11,Sunday,1,2011,Spring,99
2011-01-23,12,Sunday,1,2011,Spring,116
2011-01-23,13,Sunday,1,2011,Spring,87
2011-01-23,14,Sunday,1,2011,Spring,110
2011-01-23,15,Sunday,1,2011,Spring,77
2011-01-23,16,Sunday,1,2011,Spring,65
2011-01-23,17,Sunday,1,2011,Spring,55
2011-01-23,18,Sunday,1,2011,Spring,49
2011-01-23,19,Sunday,1,2011,Spring,50
2011-01-23,20,Sunday,1,2011,Spring,35
2011-01-23,21,Sunday,1,2011,Spring,25
2011-01-23,22,Sunday,1,2011,Spring,28
2011-01-23,23,Sunday,1,2011,Spring,21
2011-01-24,0,Monday,1,2011,Spring,7
2011-01-24,1,Monday,1,2011,Spring,1
2011-01-24,3,Monday,1,2011,Spring,1
2011-01-24,4,Monday,1,2011,Spring,1
2011-01-24,5,Monday,1,2011,Spring,5
2011-01-24,6,Monday,1,2011,Spring,15
2011-01-24,7,Monday,1,2011,Spring,84
2011-01-24,8,Monday,1,2011,Spring,177
2011-01-24,9,Monday,1,2011,Spring,102
2011-01-24,10,Monday,1,2011,Spring,40
2011-01-24,11,Monday,1,2011,Spring,46
2011-01-24,12,Monday,1,2011,Spring,63
2011-01-24,13,Monday,1,2011,Spring,60
2011-01-24,14,Monday,1,2011,Spring,45
2011-01-24,15,Monday,1,2011,Spring,57
2011-01-24,16,Monday,1,2011,Spring,70
2011-01-24,17,Monday,1,2011,Spring,184
2011-01-24,18,Monday,1,2011,Spring,153
2011-01-24,19,Monday,1,2011,Spring,106
2011-01-24,20,Monday,1,2011,Spring,81
2011-01-24,21,Monday,1,2011,Spring,59
2011-01-24,22,Monday,1,2011,Spring,35
2011-01-24,23,Monday,1,2011,Spring,24
2011-01-25,0,Tuesday,1,2011,Spring,9
2011-01-25,1,Tuesday,1,2011,Spring,5
2011-01-25,2,Tuesday,1,2011,Spring,2
2011-01-25,4,Tuesday,1,2011,Spring,1
2011-01-25,5,Tuesday,1,2011,Spring,9
2011-01-25,6,Tuesday,1,2011,Spring,36
2011-01-25,7,Tuesday,1,2011,Spring,108
2011-01-25,8,Tuesday,1,2011,Spring,238
2011-01-25,9,Tuesday,1,2011,Spring,144
2011-01-25,10,Tuesday,1,2011,Spring,55
2011-01-25,11,Tuesday,1,2011,Spring,61
